,title,lyrics,artists,artistsFromList,date,rank,cnt
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied

[Verse 7: BlocBoy JB]
Bitch, come through (through)
You and you (you)
I'ma get the money (word)
Dr—Dr—Drizzy get the loot (the loot)
Pu—pu—pull up with that Draco (huh?)
Play with Drake and I'ma shoot (that's on my mama)
My—my—my weapon be a instrument
I'll blow you like a flute (rrah)
Ni—ni—nigga play so he feelin' it (feelin' it)
Pu—pull up broad day with a K, now he shiverin' (he shiverin')
Drop a nigga like he litterin' (huh?)
W—w—we at your door like we the delivery (yeah, yeah, yeah)
He not a plug, he middle man (middle man)
That—that nigga brown like cinnamon (cinnamon)
I got the rounds like Sugar Ray Robinson (uh)
Shot to the chest have you gaspin' for oxygen (shots)
I'ma spray 'em, just like Febreze (huh, like Febreze)
Came a long way from sittin' in the nosebleeds (in the nosebleeds)
Now a nigga on the floor talkin' to the athletes (to the athletes)
Now I'm so close to the game that I could steal the stat sheet (stat sheet)
It's Bloc

[Chorus: Drake & BlocBoy JB]
901 Shelby Drive, look alive, look alive ('live)
Niggas came up on this side, now they on the other side (word, word, word)
Oh well, fuck 'em, dawg, we gon' see how hard they ride (huh, fuck 'em)
I get racks to go outside and I split it with the guys (outside)
We up on the other side, niggas actin' like we tied
I've been gone since, like, July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide (hah)
'Cause I told them that we put that shit behind us but I lied

[Outro: Drake & BlocBoy JB]
Behind me but I lied (that's on my mama)",Finny Music,Toby Keith With Sting,1997,"[97, 95, 84, 93]",4
94,DJ Keep Playin' (Get Your Music On),"[Full Force]	
Super Sperm
Where Brooklyn at?
Where Brooklyn at?
(repeat throughout song)

[Bowlegged Lou]	
Oh yeah

[Yvette Michelle]
You're my favorite DJ

[Bowlegged Lou]	
Bowlegged Lou the house
With the star of the show
Yvette Michele

[Yvette Michelle]
Don't stop now

[Bowlegged Lou]	
Full Force up in here
Brooklyn's finest, uh

	[Yvette Michele]
1 - 	DJ keep playing and playing and playing
	Get your music on
	And on and on and on
	DJ keep playing and playing my song
	Get your music on
	And on and on

Turntable mixer
You're my favorite DJ in the world, oh, oh
When I'm on the dancefloor
Your music makes me a freakin' girl, oh, oh

The way you make me feel
I can't deny your beats are so fly
I'll meet you in the DJ booth
So I can feel it more
Keep on playing

Repeat 1

You be checkin me
While my body's moving on the floor, oh, oh
We're keeping eye contact
Baby, you know I'll be back for more, oh, oh

Check one, check two
You know what to do
You got my body so hot
Making love to my mind
As you watch me shake it
(Shake that ass girl, I'll make it nice and wet)

Repeat 1

[Full Force]	
Super....
To the break everybody

[Yvette Michelle]
DJ	
DJ
DJ keep playing and playing
And playing and playing

[Full Force]
To the break everybody, to the break everybody
Kool Herc, Afrika Bambaataa, Grand Master Flash
All the hip-hop DJ's, the Nightclub DJ's, the radio DJ's
The house party DJ's, the mixtape DJ's, the street DJ's
The Old School, New School, and the True School DJ's

Repeat 1
Repeat 1
Repeat 1
DJ keep playing and playing and playing

[Fred ""Buggz"" Bug]
Hey, yo, it's MI flava radio
And the clock on the wall says
That's about all
For the ""My Dream"" album from Yvette Michelle
I'm Bugsy, you be nice to somebody short
You never know when somebody short
Might have to be nice to you
OUT!",Yvette Michele,Yvette Michele,1997,"[98, 89, 98, 87, 94, 95, 84]",7
95,Up & Down,"[Intro:]
Tumbling Dice
Trackmasters in the mix

We just came to get on down
Get on down
We just want to have some
Have some fun

We just came to get on down
Get on down
We just came to have some
Have some fun, fun

[Verse 1:]
I know you've been
Through some real hard times
But don't let this world
Take the best from you

Just take a minute
To relax your mind
Love's got the power over all
That you've been through

[Chorus:]
I've been up & I've been down
I've been here and there
I've been around

I've been searching for someone
Who can take me
Make me high
Wanna feel real love
Paradise

[Verse 2:]
I need you to be there for me
It's just the way I feel
You know I'm always real

Don't fight this feeling
That you feel inside
Love's taken over and there
Ain't nowhere to hide

[Repeat Chorus x2:]

[Repeat x2:]
This is for the lover in you
The lover in you, hey

[Repeat Chorus x2:]

I've been up
And I've
I've been up
And down

[Repeat x4:]
Rock on, rock on
Rock on, rock on

[Repeat x4:]
We just came to get on down
Get on down
We just want to have some
Have some fun",Billy Lawrence,Billy Lawrence,1997,"[99, 92, 93]",3
96,Brian Wilson,"[Verse 1]
Drove downtown in the rain
Nine-thirty on a Tuesday night
Just to check out the late-night record shop
Call it impulsive
Call it compulsive
Call it insane
But when I'm surrounded
I just can't stop

[Verse 2]
It's a matter of instinct
It's a matter of conditioning
A matter of fact
You can call me Pavlov's dog
Ring a bell and I'll salivate
How'd you like that?
Dr. Landy tell me
You're not just a pedagogue
Because right now I'm

[Chorus]
Lying in bed
Just like Brian Wilson did
Well I am
Lying in bed
Just like Brian Wilson did

[Verse 3]
So I'm lying here
Just staring at the ceiling tiles
And I'm thinking about
Oh, what to think about
Just listening and re-listening
To Smiley Smile
And wondering if this is some kind of creative drought
Because I'm

[Chorus]
Lying in bed
Just like Brian Wilson did
Well I am
Lying in bed
Just like Brian Wilson did

[Verse 4]
And if you want to find me
I'll be out in the sandbox
Wondering where the hell all the
Love has gone
I'm playing my guitar and
Building castles in the sun (whoa-oh)
And singing ""Fun, Fun, Fun""

[Chorus]
Lying in bed
Just like Brian Wilson did
Well I am
Lying in bed
Just like Brian Wilson did

[Bridge]
I had a dream
That I was three hundred pounds
And though I was very heavy
I floated 'til I couldn't see the ground
I floated 'til I couldn't see the ground (whoa-oh)
Somebody help me
I couldn't see the ground
Somebody help me
I couldn't see the ground
Somebody help me
Because I'm

[Chorus]
Lying in bed
Just like Brian Wilson did
Well I am
Lying in bed
Just like Brian Wilson did

[Verse 1 repeats]
Drove downtown in the rain
Nine-thirty on a Tuesday night
Just to check out the late-night record shop
Call it impulsive
Call it compulsive
Call it insane
But when I'm surrounded
I just can't stop",Barenaked Ladies,Barenaked Ladies,1997,"[100, 100, 100, 92, 92, 92]",6
97,Never Make A Promise,"I don't have to think about
I never been in love
Well, I only dreamed about
I wondered what it was

But now I think I know
It's clear to me
You make me understand
I'm so proud to say I love you
I'm so proud to be your man, yes I am

I promise I'll never hurt you
I'll never make you cry, no
I promise I'll never hit you
Cross my heart and hope to die
Cuz I know I'll keep you safe
I'll keep you warm
I'll keep you satisfied
I'll be your sunshine in the morning
Be your everything at night

[Chorus]
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me

Ain't no way to get around it
Now you're stuck with me, baby, baby
Did you know that you'd be surrounded
By my love and ecstasy
This is the start of one great love affair
That's never, never, never gonna end
We can share the world together
Oh, this is where it begun

[Chorus]
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me

Oh, girl I'll stand by you
If you give me your hand
I'll make love to you baby
Your every wish is my command
Let's play out your fantasies
Oh, I can lose your mind
Take you places you ain't never been before
I promise you it's alright

[Chorus]
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me
You told me what you wanted
I gave you what you need
I told you that I love you
Make it good for you and me
And I never make a promise
That I can't keep
That ain't me

If I make a promise to you
Then baby that's what I'll do
I have nothing to lose
I give my whole world to you
(I'll never make a promise that I can't keep)
Never, never, oh no, no, no, no, no

I'm a man of my word
For you I'm always concerned
That you'll never be hurt
It's for better or worse
(I'll never make a promise that I can't keep)

Ad lib until fade",Dru Hill,Dru Hill,1997,"[73, 80, 74, 67, 60, 56, 50, 42, 32, 30, 27, 19, 18, 14, 10, 8, 8, 7, 9, 10]",20
98,Baby You Know,"Ever since the first time I saw you
I knew that it had to be me and you
Me for you
Me with you
Forever, forever, baby, forever

If you were my baby
I would give you everything
And if I owned the world, girl
It would be all yours, all yours
We can build a house made for two
It will be me and you
We can raise a family
A girl for you, a boy for me
Oh, baby, baby

Baby, you know
That we should be together forever
Come on, come on, come on
Come on come on

And baby, you know
That you should be with me forever
Come on, come on, come on, come on, come on

Here I am with open arms
Willing to give it
My all and all
And girl just trust in me
Put your heart in my hands

I promise I won't hurt you baby
'Cause if I hurt you I'll be hurting me
Just open up your heart
Let me in
Let, let me in

Baby, you know
That we should be together forever
Come on come on come on
Come on come on

And baby, you know
That you should be with me forever
Come on come on come on
Come on come on

Girl, don't be afraid
I wanna give my all and all to you, babe
Oh, baby, oh, baby
I got what you need
Girl, you know you ought to be with me
Girl, I love you, girl, I love you

I'll so anything for your lovin'
Baby, you know
I'll do anything for your huggin'
Now baby, you know
Baby, you know

I'll do anything for your lovin'
I'll do anything for your kissin' babe
I'll do anything for your huggin'
I'll do anything without missin', babe

Baby, you know
That we should be together forever
Come on, come on, come on, come on",The O’Jays,The O'Jays,1997,"[93, 90, 76, 78, 78, 85, 92]",7
99,Home,"[Verse 1]
Here is a song from the wrong side of town
Where I'm bound to the ground by the loneliest sound
That pounds from within and is pinning me down

[Verse 2]
Here is a page from the emptiest stage
A cage or the heaviest cross ever made
A gauge of the deadliest trap ever laid

[Chorus]
And I thank you
For bringing me here
For showing me home
For singing these tears
Finally, I've found
That I belong here

[Verse 3]
The heat and the sickliest sweet-smelling sheets
That cling to the backs of my knees and my feet
Well, I'm drowning in time to a desperate beat

